Test Case ID,Module,Status,Duration (s)
TC-253,appium,PASS,0.1
TC-254,appium,PASS,0.1
TC-255,appium,PASS,0.1
TC-256,appium,PASS,0.1
TC-257,appium,PASS,0.1
TC-258,appium,PASS,0.1
TC-259,appium,PASS,0.1
TC-260,appium,PASS,0.1
TC-261,appium,PASS,0.1
TC-262,appium,PASS,0.1
TC-263,appium,PASS,0.1
TC-264,appium,PASS,0.1
TC-265,appium,PASS,0.1
TC-266,appium,PASS,0.1
TC-267,appium,PASS,0.1
TC-268,appium,PASS,0.1
TC-269,appium,PASS,0.1
TC-270,appium,PASS,0.1
TC-271,appium,PASS,0.1
TC-272,appium,PASS,0.1
TC-273,appium,PASS,0.1
TC-274,appium,PASS,0.1
TC-275,appium,PASS,0.1
TC-276,appium,PASS,0.1
TC-277,appium,PASS,0.1
TC-278,appium,PASS,0.1
TC-279,appium,PASS,0.1
TC-280,appium,PASS,0.1
TC-281,appium,PASS,0.1
TC-282,appium,PASS,0.1
TC-283,appium,PASS,0.1
TC-284,appium,PASS,0.1
TC-285,appium,PASS,0.1
TC-286,appium,PASS,0.1
TC-287,appium,PASS,0.1
TC-288,appium,PASS,0.1
TC-289,appium,PASS,0.1
TC-290,appium,PASS,0.1
TC-291,appium,PASS,0.1
TC-292,appium,PASS,0.1
TC-293,appium,PASS,0.1
TC-294,appium,PASS,0.1
TC-295,appium,PASS,0.1
TC-296,appium,PASS,0.1
TC-297,appium,PASS,0.1
TC-298,appium,PASS,0.1
TC-299,appium,PASS,0.1
TC-300,appium,PASS,0.1
